formula,class,mp,technique,dag_nodes,temporals,tree_nodes,sharing,build_s,equiv,reconstructed
aut_16948.hoa,?,?,daisy2,6,3,7,1.2,0.065,True,G(F!a & Fa)
aut_16951.hoa,?,?,buchi,75,12,325,4.3,1.118,True,((!a U (a & X!a)) | (!a & X(!a U (a & X!a))) | ((!a | X(a & (X!a | (F!a & ((!a |…
aut_16952.hoa,?,?,daisy2,6,3,7,1.2,0.066,True,G(F!a & Fa)
aut_16956.hoa,?,?,daisy2,6,2,7,1.2,0.063,True,GF(a & X!a)
aut_16960.hoa,?,?,daisy2,3,2,3,1.0,0.066,True,GFa
aut_16963.hoa,?,?,buchi,2,1,2,1.0,1.105,True,Fa
aut_16967.hoa,?,?,buchi,2,1,2,1.0,1.110,True,Fa
aut_16995.hoa,?,?,buchi,2,1,2,1.0,1.114,True,Fa
aut_16999.hoa,?,?,buchi,2,1,2,1.0,1.110,True,Fa
aut_17008.hoa,?,?,daisy2,3,2,3,1.0,0.064,True,GFa
aut_17011.hoa,?,?,buchi,2,1,2,1.0,1.105,True,Fa
aut_17012.hoa,?,?,daisy2,3,2,3,1.0,0.065,True,GFa
aut_17015.hoa,?,?,buchi,2,1,2,1.0,1.101,True,Fa
aut_17016.hoa,?,?,daisy2,3,2,3,1.0,0.065,True,GFa
aut_17020.hoa,?,?,daisy2,3,2,3,1.0,0.065,True,GFa
aut_17024.hoa,?,?,daisy2,5,2,6,1.2,0.066,True,GF(a & Xa)
aut_17026.hoa,?,?,-,,,,,0.584,NOT_LTL,
aut_17027.hoa,?,?,buchi,2,1,2,1.0,1.110,True,Fa
aut_17028.hoa,?,?,daisy2,3,2,3,1.0,0.066,True,GFa
aut_17031.hoa,?,?,buchi,2,1,2,1.0,1.099,True,Fa
aut_17088.hoa,?,?,daisy2,6,2,7,1.2,0.065,True,GF(a & X!a)
aut_17091.hoa,?,?,buchi,726,129,719222,990.7,1.222,UNVERIFIED_SIZE,<unflattened DAG: 719222 tree nodes>
aut_17092.hoa,?,?,daisy2,6,3,7,1.2,0.065,True,G(F!a & Fa)
aut_17095.hoa,?,?,buchi,726,129,719222,990.7,1.215,UNVERIFIED_SIZE,<unflattened DAG: 719222 tree nodes>
aut_17153.hoa,?,?,daisy,3,1,3,1.0,0.065,True,F!a
aut_17154.hoa,?,?,daisy,6,2,7,1.2,0.066,True,F(!a & XGa)
aut_17158.hoa,?,?,daisy,6,3,7,1.2,0.064,True,F(!a & GFa)
aut_17161.hoa,?,?,daisy,3,1,3,1.0,0.066,True,F!a
aut_17168.hoa,?,?,daisy2,4,2,4,1.0,0.065,True,GF!a
aut_17170.hoa,?,?,buchi,3,1,3,1.0,1.104,True,F!a
aut_17171.hoa,?,?,partscc,4,2,4,1.0,0.064,True,GF!a
aut_17172.hoa,?,?,daisy2,4,2,4,1.0,0.062,True,GF!a
aut_17174.hoa,?,?,buchi,3,1,3,1.0,1.099,True,F!a
aut_17175.hoa,?,?,buchi,8,3,13,1.6,1.104,True,F!a & G(a | X(a R F!a))
aut_17176.hoa,?,?,daisy2,4,2,4,1.0,0.066,True,GF!a
aut_17180.hoa,?,?,daisy2,4,2,4,1.0,0.065,True,GF!a
aut_17184.hoa,?,?,daisy2,6,2,7,1.2,0.065,True,GF(!a & Xa)
aut_17186.hoa,?,?,buchi,726,129,739611,1018.7,1.218,UNVERIFIED_SIZE,<unflattened DAG: 739611 tree nodes>
aut_17188.hoa,?,?,daisy2,6,3,7,1.2,0.065,True,G(Fa & F!a)
aut_17190.hoa,?,?,buchi,75,12,321,4.3,1.117,True,((a U (!a & Xa)) | (a & X(a U (!a & Xa))) | ((a | X(!a & (Xa | (Fa & ((a | X!a) …
aut_17192.hoa,?,?,daisy2,6,2,7,1.2,0.066,True,GF(!a & Xa)
